#,Tier,Business,Category,City,Address,Phone,Web presence found,Revenue / legitimacy signals,Pitch angle,Confidence,Sources
1,A - No website found,"Florida Universal Roofing, Inc.",Roofing,Orlando,"1808 Acme St, Orlando, FL 32805",(407) 648-8009,"Facebook page only; no domain surfaced on BBB, Yelp, BuildZoom or roof.info",Since 1991; BBB A+ accredited since 2013; 34 yrs; insurance-claim roofing,A 34-year roofer with no website is losing storm-season leads to competitors with landing pages,Likely,bbb.org/us/fl/orlando/profile/roofing-contractors/florida-universal-roofing-inc-0733-29000008; yelp.com/biz/florida-universal-roofing-inc-orlando; facebook.com/orlandoroofer
2,A - No website found,Altamonte Springs Automotive,Auto repair,Altamonte Springs,"440 N State Rd 434 Ste B, Altamonte Springs, FL 32714",(407) 869-8848,Yelp/BBB/SureCritic listings only; no domain surfaced,"40+ yrs; AAA Approved; ASE techs; 398 SureCritic reviews, 4.9/5 on 111",Nearly 400 reviews and no site: an online-booking page alone would pay for itself,Likely,yelp.com/biz/altamonte-springs-automotive-altamonte-springs; surecritic.com/reviews/altamonte-springs-automotive; bbb.org/us/fl/altamonte-springs/profile/automotive-paint/altamonte-springs-automotive-0733-90835917
3,A - No website found,Dr. Jay's Auto Repair,Auto repair,Kissimmee,"1554 Kelley Ave, Kissimmee, FL 34744",(407) 709-6395,Facebook + a localsearch.com directory page; no real site,101 reviews at 4.8; 98% FB recommend; A/C and hard-diagnosis specialist,Reputation is already built; a site just needs to capture it (reviews widget + call button),Likely,reviews.birdeye.com/dr-jays-auto-repair-156040309276048; facebook.com/p/Dr-Jays-Auto-Repair-100031324405254
4,A - No website found,Ideal Service Center & Tires,Auto repair / tires,Kissimmee,"125 W Keen St, Kissimmee, FL 34741",(321) 697-0005,Facebook + Yelp only; no online scheduling per listings,Since 2003; 22 Yelp reviews; explicitly no online appointment booking,Sell the booking form: listings literally say 'call to schedule',Likely,yelp.com/biz/ideal-service-center-kissimmee; facebook.com/idealservice10
5,A - No website found,"J & G Auto Repair Services, LLC",Auto repair,Kissimmee,"611 E Donegan Ave, Kissimmee, FL 34744",(407) 518-1600,Facebook only (facebook.com/jandgauto),40+ yrs experience; 26 reviews at 4.2; bilingual shop,Spanish/English bilingual site is an easy differentiator in Osceola,Likely,reviews.birdeye.com/j-and-g-auto-repair-services-llc-166125280013571; facebook.com/JandGAuto
6,A - No website found,Apopka Auto Repair,Auto repair,Apopka,"2001 Hiawassee Rd, Apopka, FL 32703",(407) 880-2886,Yelp listing only; no domain surfaced,European-vehicle specialist; engine/transmission rebuilds; tires,High-ticket European work with zero web presence; competitor Sheeler Auto next door has a site,Likely,yelp.com/biz/apopka-auto-repair-apopka
7,A - No website found,Benjie Auto Repair Inc.,Auto repair,Kissimmee,"2779 Old Dixie Hwy Unit D, Kissimmee, FL 34744",(407) 860-4818,Facebook + Instagram; owns benjieauto.com for email but no site surfaced,BBB accredited 2025; 10 yrs; 82 Birdeye reviews at 4.5; 4.8 on CARFAX,They already own the domain: pitch is 'you're paying for a domain with nothing on it',Likely,bbb.org/us/fl/kissimmee/profile/auto-maintenance/benjie-auto-repair-inc-0733-235972907; reviews.birdeye.com/benjie-auto-166574642791844
8,A - No website found,Angelino & Son Auto Truck Center / Machine Shop,Auto repair / machine shop,Kissimmee,"3031 Lions Ct, Kissimmee, FL 34744",(407) 870-0001,Facebook; directory 'website' field points to an unrelated domain (osceolalegals.com),119 reviews at 4.3; auto + truck + engine machine work,Only engine machine shop in Osceola surfacing on Facebook alone,Likely,yelp.com/biz/angelino-and-son-auto-truck-center-kissimmee; facebook.com/kissimmeemachineshop
9,A - No website found,"Pool Barrier Orlando, Inc.",Pool safety fencing,Orlando,"3930 Orange Lake Dr, Orlando, FL 32817",See BBB/Yelp listing (not captured),"BBB, Yelp, Angi, Birdeye listings; no domain surfaced",29 Birdeye reviews at 5.0; 'rated #1 pool safety contractor in Orlando'; family owned,"Competitors (Baby Guard, Life Saver, Premier Pool Fence) all have sites; this one does not",Likely,bbb.org/us/fl/orlando/profile/fence-contractors/pool-barrier-orlando-inc-0733-90573268; yelp.com/biz/pool-barrier-orlando-orlando-3
10,A - No website found,The Bakery Colombian Cafe,Cafe / bakery,Orlando (Avalon Park),"13001 Founders Square Dr, Orlando, FL 32828",(407) 237-9119,"Facebook, Instagram, DoorDash, Uber Eats; no site",87 Yelp reviews; on two delivery platforms; family owned,Delivery apps take 15-30%; a direct-order page recovers margin,Likely,yelp.com/biz/the-bakery-colombian-cafe-orlando; facebook.com/thebakerycolombiancafe
